Remotti,GVBIO,DIFERENCIAS,FECHA,Unnamed: 4,La Anonima,GVBIO.1,DIFERENCIAS.1,FECHA.1,Unnamed: 9,Unnamed: 10
28440,28440,0,2024-12-11 00:00:00,,21260,20660,600,2024-11-01 00:00:00,,
27680,27680,0,2024-12-12 00:00:00,,18160,17300,860,2024-11-05 00:00:00,,
28540,28540,0,2024-12-12 00:00:00,,29100,28780,320,2024-11-07 00:00:00,,
28690,28580,110,2024-12-13 00:00:00,,14500,14220,280,2024-11-08 00:00:00,,
28560,28560,0,2024-12-13 00:00:00,,26040,25640,400,2024-11-12 00:00:00,,
28440,28440,0,2024-12-15 00:00:00,,21620,21020,600,2024-11-13 00:00:00,,
28240,27920,320,2024-12-16 00:00:00,,30720,30200,520,2024-11-18 00:00:00,,
28480,28420,60,2024-12-17 00:00:00,,30080,24408,5672,2024-11-22 00:00:00,, 
28520,28460,60,2024-12-17 00:00:00,,,,0,2024-11-23 00:00:00,,
28000,28000,0,2024-12-19 00:00:00,,,,0,2024-11-27 00:00:00,,
28960,28960,0,2024-12-19 00:00:00,,,,0,2024-11-29 00:00:00,,
28500,28500,0,2024-12-20 00:00:00,,La Anonima,GVBIO,DIFERENCIAS,DIFERENCIAS,,
28600,28590,10,2024-12-21 00:00:00,,191480,182228,9252,A FAVOR,,
28920,28920,0,2024-12-22 00:00:00,,Promedio ST ,,37.38,La Anonia dic,,
28500,28500,0,2024-12-23 00:00:00,,Total ST KG,,68116.8264,"(peso gvbio x 0,3738)",,
28420,28420,0,2024-12-24 00:00:00,,Total ST KG La Anonima,,71575.224,"(peso gvbio x 0,3738)",,
27580,27580,0,2024-12-24 00:00:00,,,,,,,
28740,28740,0,2024-12-25 00:00:00,,,,,,,
28300,28240,60,2024-12-25 00:00:00,,,,,,,
28560,28500,60,2024-12-26 00:00:00,,,,, ,,
28640,28560,80,2024-12-27 00:00:00,,,,,,,
28880,28560,320,2024-12-28 00:00:00,,,,,,,
28560,28520,40,2024-12-29 00:00:00,,,,,,,
28460,28460,0,2024-12-30 00:00:00,,,,,,,
28140,28140,0,2024-12-31 00:00:00,,,,,,,
28320,28320,0,2024-12-31 00:00:00,,,,,,,
,,0,2024-11-23 00:00:00,,,,,,,
,,0,2024-11-24 00:00:00,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
,,0,,,,,,,,
Remotti,Peso en planta,DIFERENCIAS,,,,,,,,
739670,738550,1120,A favor,,,,,,,
Promedio ST,Promedio ST,remotti dic 2024,,,,,,,,
"12,50%",0.1244,,,,,, ,,,
ST KG,ST KG,,,,,,,,,
92458.75,91875.62,,,,,,,,,
